Id,PatientTaskHandMappingId,SegmentId,Start,End,CreatedAt,UpdatedAt
86,294,4,117,143,2022-12-01 01:19:10.3604567,2022-12-01 01:19:10.3604572
87,296,7,62,83,2022-12-01 01:24:26.4816545,2022-12-01 01:24:26.4816548
88,296,8,83,94,2022-12-01 01:24:26.5387402,2022-12-01 01:24:26.5387410
89,296,6,94,130,2022-12-01 01:24:26.5476242,2022-12-01 01:24:26.5476248
90,302,7,49,63,2022-12-01 01:27:57.2800397,2022-12-01 01:27:57.2800405
91,302,8,63,73,2022-12-01 01:27:57.3019946,2022-12-01 01:27:57.3019951
92,302,6,73,97,2022-12-01 01:27:57.3099953,2022-12-01 01:27:57.3099957
93,303,1,61,144,2022-12-01 01:31:55.8202111,2022-12-01 01:31:55.8202119
94,303,2,82,144,2022-12-01 01:31:55.8396220,2022-12-01 01:31:55.8396226
95,303,3,144,184,2022-12-01 01:31:55.8476610,2022-12-01 01:31:55.8476618
96,303,4,184,219,2022-12-01 01:31:55.8559959,2022-12-01 01:31:55.8559967
97,291,1,73,122,2022-12-02 09:33:54.1988632,2022-12-02 09:33:54.1988637
98,291,2,89,122,2022-12-02 09:33:54.2471531,2022-12-02 09:33:54.2471533
99,291,3,121,146,2022-12-02 09:33:54.2545896,2022-12-02 09:33:54.2545900
100,291,4,147,158,2022-12-02 09:33:54.2621019,2022-12-02 09:33:54.2621024
101,316,1,66,183,2022-12-16 03:23:48.4285224,2022-12-16 03:23:48.4285228
102,316,2,95,183,2022-12-16 03:23:48.4936551,2022-12-16 03:23:48.4936554
103,316,3,183,218,2022-12-16 03:23:48.5023497,2022-12-16 03:23:48.5023501
104,316,4,218,289,2022-12-16 03:23:48.5110688,2022-12-16 03:23:48.5110692
105,285,1,74,104,2022-12-16 03:34:23.1181816,2022-12-16 03:41:13.6546411
106,285,2,85,105,2022-12-16 03:34:23.1673565,2022-12-16 03:41:13.6728868
107,285,3,104,117,2022-12-16 03:34:23.1750144,2022-12-16 03:41:13.6817757
108,285,6,119,175,2022-12-16 03:34:23.1824179,2022-12-16 03:41:13.6909750
109,285,5,175,180,2022-12-16 03:34:23.1902823,2022-12-16 03:41:13.6996108
110,285,4,180,209,2022-12-16 03:34:23.1985406,2022-12-16 03:41:13.7086410
111,288,1,79,160,2022-12-16 03:55:26.7861183,2022-12-16 03:55:26.7861185
112,288,2,86,160,2022-12-16 03:55:26.8324591,2022-12-16 03:55:26.8324594
113,288,3,160,183,2022-12-16 03:55:26.8403414,2022-12-16 03:55:26.8403418
114,288,4,183,241,2022-12-16 03:55:26.8483388,2022-12-16 03:55:26.8483390
115,201,1,78,108,2022-12-16 13:54:48.4403758,2022-12-16 13:54:53.1273304
116,201,2,94,108,2022-12-16 13:54:48.4897673,2022-12-16 13:54:53.1455106
117,201,3,109,125,2022-12-16 13:54:48.4978231,2022-12-16 13:54:53.1540435
118,201,4,125,170,2022-12-16 13:54:48.5053191,2022-12-16 13:54:53.1628953
119,171,1,54,90,2022-12-30 18:04:17.8274238,2022-12-30 18:04:17.8274243
120,171,2,71,90,2022-12-30 18:04:17.8761631,2022-12-30 18:04:17.8761636
121,171,3,90,147,2022-12-30 18:04:17.8841174,2022-12-30 18:04:17.8841178
122,171,4,147,284,2022-12-30 18:04:17.8920160,2022-12-30 18:04:17.8920164
